"";"Champs";"Regie";"Soil_type";"Variete";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"1242";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;29807,70039;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,304665;12;38,98098732;80,66585362;637,2208139;25,00667111;20,37358239;0,897598399;4,472981988;2,021347565;0,1395684816;235,1107405;0,81583;0,112325;0,518691;0,861647;0,21023;0,003883;0,00046;0,009051;0,048629;0,002677;0,014586
"1243";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;35999,42265;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,284255;12;44,14412929;69,76019872;610,810686;25,34960422;19,07651715;1,021108179;2,216358839;2,196569921;0,1100303498;211,2902375;0,77535;0,114833;0,570485;0,687741;0,194917;0,002695;0,00047;0,007033;0,027234;0,002205;0,010491
"1244";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;30914,00235;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,202615;12;33,1639839;76,83164875;630,4889336;36,88128773;34,66800805;0,941649899;3,158953722;2,535211268;0,1395684816;326,5935614;0,75362;0,111247;0,581334;0,789526;0,189732;0,00317;0,000504;0,008531;0,030997;0,002257;0,013738
"1245";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;31948,92999;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,141385;12;35,36784288;86,91950259;681,0379494;27,00399467;24,2276964;0,947736352;5,143142477;1,957390146;0,1288330352;291,6950732;0,95094;0,130683;0,640835;0,647892;0,212363;0,003035;0,00047;0,005904;0,027572;0,002205;0,01346
"1246";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;33037,38837;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,31487;12;46,80298013;72,77186091;602,4198675;28,55960265;24,2781457;1,293377483;1,599337748;2,483443709;0,1115968562;280,6629139;0,80494;0,110755;0,541693;0,780038;0,200227;0,003251;0,000465;0,005098;0,032615;0,002396;0,008747
"1247";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;44091,48618;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,33528;12;33,54263824;62,3615275;578,8500999;24,56362425;19,9467022;0,969353764;2,638241173;2,318454364;0,1288330352;210,673551;0,83246;0,098655;0,515264;0,688635;0,170261;0,002483;0,000414;0,005465;0,031035;0,001992;0,010481
"1248";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;34223,98644;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,263845;12;33,02190508;58,28403938;606,6969798;23,34882177;24,99170262;1,06936608;1,722535679;2,509127116;0,1311684478;277,2027879;0,87361;0,109282;0,641649;0,67585;0,165947;0,002791;0,000449;0,00682;0,028503;0,001879;0,013142
"1249";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;38702,72502;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,172;12;36,34102142;89,1650839;684,4902801;26,48105437;22,67545305;1,043822076;3,390444811;2,05601318;0,1288330352;295,4965404;0,86962;0,126461;0,57124;0,665944;0,190707;0,002406;0,000424;0,005273;0,024507;0,001824;0,010862
"1250";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;32537,76813;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,25364;12;32,80406531;79,05743155;686,697101;24,33188937;18,11396201;0,962679107;4,978340553;1,70943019;0,1288330352;216,1819394;0,83379;0,123534;0,640757;0,741218;0,204598;0,003195;0,00048;0,005573;0,027072;0,001918;0,011489
"1251";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;41664,7593;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,19241;12;49,67876165;100,7433433;594,0938748;29,67043941;27,58322237;1,081557923;4,324234354;2,526631158;0,1431954538;310,9993342;0,85235;0,117726;0,518298;0,775014;0,205494;0,002746;0,000457;0,005347;0,026013;0,002297;0,008764
"1252";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;33251,51133;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,365895;12;41,4197117;73,99218708;806,5363728;24,15688904;16,50351995;1,1615823;7,100234663;1,689574254;0,2016314582;217,0740865;0,89841;0,124369;0,530024;0,846249;0,214929;0,002617;0,000511;0,004135;0,022663;0,002402;0,007935
"1253";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;34295,36076;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,25364;12;39,92845258;128,6220514;744,3448505;26,41641642;16,24584718;1,312624585;3,976744186;1,983388704;0,2016314582;203,8245847;0,83396;0,103637;0,491907;0,690496;0,188356;0,002103;0,000372;0,005683;0,024819;0,001942;0,008408
"1254";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;39657,35655;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,304665;12;54,0448505;99,29519925;702,7992048;28,89184692;20,36779324;1,625248509;2,852882704;2,514910537;0,1288330352;239,3976143;0,84994;0,108481;0,589925;0,674509;0,19236;0,003306;0,000452;0,006643;0,036765;0,002461;0,010966
"1255";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;47151,66015;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,25364;12;36,0387674;78,89963977;691,1122924;26,90033223;18,80730897;1,040531561;2,700996678;1,913621262;0,1199492256;239,1169435;0,8286;0,118016;0,565656;0,766067;0,205791;0,003246;0,000471;0,006819;0,033292;0,002318;0,010987
"1256";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;31538,52765;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,304665;12;40,70930233;92,68547439;642,1058236;24,04572565;17,67054908;0,888519135;3,304492512;1,96672213;0,1395684816;218,3700499;0,80823;0,113078;0,521839;0,737766;0,200998;0,003057;0,000435;0,007615;0,030993;0,002204;0,012548
"1257";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;36383,05962;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,21282;12;41,17637271;100,4976885;654,9483042;31,69435216;22,18636813;0,972999671;2,499176819;2,133684557;0,1100303498;247,748436;0,89484;0,128011;0,563781;0,748428;0,201224;0,002598;0,000457;0,004739;0,02862;0,001994;0,009369
"1258";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;47615,59323;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,304665;12;48,62528811;85,11493063;856,6804813;30,47920133;16,60427807;1,263368984;3,308823529;2,396390374;0,1288330352;231,6417112;0,88725;0,104298;0,534911;0,802861;0,200758;0,003079;0,000394;0,006736;0,037664;0,002366;0,011013
"1259";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;48891,4092;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,161795;12;35,51971925;78,81993216;645,8321168;32,0546592;26,77504977;1,493032515;2,548108825;2,130059721;0,1331962918;325,2063703;0,8835;0,111869;0,589091;0,741283;0,216852;0,003171;0,000449;0,005455;0,026258;0,002223;0,009434
"1260";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;33572,69577;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,35569;12;39,19210352;77,94198832;805,0358566;23,72326203;14,9501992;1,09063745;3,575697211;2,719123506;0,1288330352;200,4721116;0,81123;0,099394;0,587791;0,756039;0,194811;0,003218;0,000461;0,00782;0,034182;0,002379;0,012518
"1261";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;41236,51338;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,243435;12;41,10059761;80,42663;667,1236255;31,38354346;24,25191603;0,946684439;3,928690437;2,169276908;0,1431954538;278,2512496;0,84307;0,098939;0,498999;0,707641;0,189195;0,002657;0,000398;0,006044;0,023362;0,001882;0,009294
"1262";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;28246,38714;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;7,36344;2,8772352;1,2488;0,7136;0;4,304665;12;43,695126916;80,785370452;623,14652666;26,674835844;20,11275336;1,139471656;2,735797421;2,1799371844;0,1652945962;244,79886902;0,83641;0,102516;0,555812;0,728799;0,180803;0,002882;0,000477;0,006332;0,032061;0,002218;0,010463
"1263";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;36677,47869;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,23323;12;36,3301388;76,6175;604,9161677;24,96167944;19,28143713;0,956087824;4,870259481;2,085828343;0,1484046268;256,3013972;0,84322;0,113261;0,496013;0,777003;0,195857;0,002955;0,000442;0,006201;0,026003;0,002248;0,008731
"1264";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;47544,21891;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,284255;12;53,53792415;92,54480981;732,9434211;26,95637806;20,0625;1,070723684;3,345394737;2,210526316;0,1420801014;259,9480263;0,85847;0,112573;0,564477;0,713759;0,191854;0,002649;0,000437;0,005878;0,02953;0,002063;0,010636
"1265";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;36998,66313;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,223025;12;45,35032895;81,16129249;748,6573427;28,17365269;19,73026973;0,955044955;2,097902098;2,357642358;0,1100303498;231,1828172;0,8044;0,118036;0,504831;0,782073;0,188976;0,00265;0,000436;0,005715;0,031417;0,002332;0,009172
"1266";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;44145,01692;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,406715;12;44,28071928;76,41406702;580,8083554;23,87171053;17,00928382;0,807692308;3,630636605;2,377320955;0,1288330352;184,6094164;0,83938;0,112398;0,537925;0,762833;0,187678;0,003271;0,00042;0,006993;0,043984;0,00227;0,011808
"1267";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;44252,0784;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,02913;12;32,36240053;106,6730366;541,6001328;23,91608392;27,30986383;0,753238127;3,885752242;2,371305214;0,1583235026;376,4935237;0,9864;0,121802;0,901828;0,501001;0,212116;0,003324;0,000449;0,007192;0,026732;0,001493;0,018115
"1268";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;48008,15199;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,13118;12;51,62570575;101,4789992;576,1730769;27,23474801;32,89456233;1,238395225;3,690318302;2,665782493;0,1420801014;356,3932361;0,92626;0,105104;0,703926;0,477806;0,199095;0,003153;0,000413;0,004887;0,027411;0,001384;0,010801
"1269";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;41459,55813;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,19241;12;43,49303714;87,72933845;617,8187192;26,40318831;26,16748768;1,016748768;5,201970443;2,541871921;0,1288330352;329,6591133;0,8475;0,119301;0,561979;0,756851;0,218386;0,003268;0,000465;0,006571;0,031678;0,002304;0,011379
"1270";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;33831,42768;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,304665;12;47,12807882;100,1455734;749,0938857;31,2831565;22,55262279;1,108586702;6,304710992;1,974607417;0,1288330352;278,0427665;0,86572;0,118927;0,534656;0,8042;0,229435;0,003018;0,000462;0,006945;0,03639;0,002319;0,011848
"1271";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;41637,99393;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,182205;12;37,57266956;91,2941178;683,3293293;29,8226601;22,5025025;1,112112112;2,542542543;2,352352352;0,1048211768;273,2872873;0,88314;0,119587;0,590074;0,68148;0,196628;0,002905;0,000481;0,005651;0,03232;0,002026;0,010585
"1272";"10";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;44840,91654;0,94;52,9890816;46,6251968;123,281536;15,6449664;226,17066752;2,4255;2,8772352;1,2488;0,892;0;4,23323;12;50,50550551;102,435703;583,19401;30,23053792;21,61397671;0,869550749;3,204658902;2,296173045;0,1288330352;243,2585691;0,91615;0,127723;0,589797;0,746982;0,214969;0,0032;0,000462;0,005098;0,035257;0,002004;0,010543
"1273";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;31181,65605;0,9962962962;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,70266;24;316,4925865;193,1120264;1232,781775;57,54365733;24,39044481;3,739868204;2,985172982;8,891268534;0,54;369,0968699;1,0397;0,112621;0,504503;1,048033;0,240422;0,005313;0,000443;0,007788;0,076397;0,00397;0,006262
"1274";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;24142,36374;0,9722962962;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,631225;24;256,1118531;189,6811352;1043,372441;52,44240401;20,49916528;2,904340568;4,056761269;3,58096828;0,52;360,7742905;1,1475;0,132506;0,657415;0,850393;0,187705;0,004004;0,000566;0,007883;0,077212;0,00267;0,006132
"1275";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;25221,90033;0,964;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,68225;24;287,4094567;177,6307847;1177,130458;52,63078471;24,8138833;3,445171026;8,873239437;8,355130785;0,5;324,9325956;1,034;0,094709;0,418803;1,019679;0,231049;0,005251;0,000416;0,006952;0,086619;0,003182;0,006644
"1276";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;35874,51759;0,9928571428;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,55979;24;185,4558872;193,7012135;1269,786884;62,46474254;16,70219744;2,439652345;2,774680223;2,78943916;0,52;317,0741227;1,1397;0,122358;0,645406;0,848938;0,2105;0,003811;0,000629;0,005841;0,066959;0,002619;0,006349
"1277";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;33697,60083;0,9297142858;28,08239;27,26175;95,4886;2,453;158,553;2,51244;1,72634112;0,50844;0,7136;0;4,488355;24;196,6705336;176,6639045;1379,451592;47,6251243;16,24295658;2,493370898;3,639376864;3,902883659;0,5;311,6768313;1,0687;0,118415;0,640132;0,741287;0,201441;0,003846;0,000408;0,004607;0,059027;0,002416;0,004611
"1278";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;47865,40335;0,9461428572;28,08239;27,26175;95,4886;2,453;158,553;0;0,57544704;0,50844;0,892;0;4,49856;24;292,1736981;256,0629532;1159,147715;47,55603164;19,45451549;2,940177983;4,805537245;6,857284113;0,52;342,2738958;1,0718;0,115798;0,599169;0,86854;0,223064;0,004772;0,00048;0,005733;0,068341;0,002796;0,0056
"1279";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;29147,48793;0,952;28,08239;27,26175;95,4886;2,453;158,553;0;1,15089408;0,50844;0,7136;0;4,66184;24;277,411824;152,3328855;1263,324268;39,92106147;20,19986564;3,062982869;3,396036278;6,746724891;0,48;327,8364125;1,0547;0,134133;0,677089;0,743052;0,210555;0,002661;0,00043;0,0061;0,023222;0,001966;0,002888
"1280";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;8868,25926;0,812;28,08239;27,26175;95,4886;2,453;158,553;0;1,72634112;0,50844;0,892;0;4,35569;24;164,8705609;228,9727846;1215,347651;45,35844673;13,18785264;2,252738135;4,719548623;2,75307003;0,42;377,8456688;0,953;0,115295;0,565125;0,86719;0,208768;0,004565;0,000519;0,010443;0,032985;0,002597;0,006309
"1281";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;19547,64189;0,9036162466;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,467945;24;234,4884654;184,7191575;1406,033441;53,1444333;17,86860582;3,322467402;4,844533601;8,470411234;0,36;396,221665;1,0329;0,127431;0,713244;0,722524;0,205363;0,00392;0,000509;0,005176;0,045182;0,00279;0,004587
"1282";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;24588,45324;0,812;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,7136;0;4,64143;24;258,1039604;166,4009901;1286,909874;43,95544554;16,93564356;2,509405941;4,891089109;6,797029703;0,46;379,9039604;1,1182;0,123156;0,752614;0,657825;0,194755;0,003789;0,000482;0,005805;0,038698;0,002494;0,004869
"1283";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;38283,40089;0,952;28,08239;27,26175;95,4886;2,453;158,553;0;2,30178816;0,50844;0,892;0;4,569995;24;173,3427809;178,7245749;1184,660315;55,29343114;17,58086029;2,658386129;5,021673891;2,745915305;0,48;317,0486829;1,1053;0,116532;0,599677;0,770331;0,196701;0,004186;0,000493;0,006043;0,078972;0,002532;0,006185
"1284";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;40156,97679;0,952;28,08239;27,26175;95,4886;2,453;158,553;0;1,15089408;0,50844;0,892;0;4,896555;24;330,3355593;142,2020033;1059,548815;67,19699499;17,64440735;3,351085142;3,485809683;7,81803005;0,52;328,3001669;1,1061;0,104475;0,634618;0,920907;0,189659;0,006303;0,000426;0,010269;0,085721;0,002697;0,008047
"1285";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;35651,47284;0,94;28,08239;27,26175;95,4886;2,453;158,553;2,51244;2,8772352;0,50844;0,7136;0;4,080155;24;79,4857049;160,1692409;1435,001211;31,80907;12,0128163;1,279165297;4,032205061;2,854091357;0,48;363,8872823;1,1613;0,118737;0,706148;0,64477;0,235829;0,004561;0,000434;0,005537;0,065461;0,002329;0,014499
"1286";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;41450,63634;0,94;28,08239;27,26175;95,4886;2,453;158,553;2,51244;2,8772352;0,50844;0,892;0;4,059745;24;84,19820717;223,6703187;1415,869974;31,96713147;11,43924303;1,191733068;4,472111554;2,226095618;0,5;413,1802789;1,029;0,110307;0,793652;0,536557;0,24573;0,004782;0,000464;0,005187;0,039133;0,001998;0,015294
"1287";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;34973,4168;0,989153439;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,68225;24;277,9674933;180,527815;1263,868949;54,19403485;24,36494638;2,944202413;3,016085791;4,539209115;0,5;374,8421582;1,086;0,12723;0,639276;0,840225;0,224799;0,00391;0,000491;0,005299;0,062647;0,002862;0,005434
"1288";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;39148,81452;0,9417142858;28,08239;27,26175;95,4886;2,453;158,553;2,51244;0;0,50844;0,892;0;4,70266;24;301,1740423;245,6720608;1251,581376;68,81274769;21,7817041;3,096598415;4,180977543;6,454755614;0,58;348,0544914;1,1366;0,119201;0,584914;0,909867;0,229014;0,004378;0,000484;0,005621;0,072922;0,002961;0,006332
"1289";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;32573,45529;0,952;28,08239;27,26175;95,4886;2,453;158,553;0;1,15089408;0,50844;0,7136;0;4,631225;24;227,1619393;135,3215699;1394,431684;25,04782322;19,4871372;2,629452507;7,193271768;7,257585752;0,5;358,3604881;1,098;0,118087;0,642807;0,785859;0,215503;0,003963;0,000444;0,004718;0,055375;0,00267;0,005351
"1290";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;20118,63645;0,94;28,08239;27,26175;95,4886;2,453;158,553;0;2,30178816;0,50844;0,892;0;4,447535;24;206,2041019;216,0089315;1146,08494;28,78432021;18,82070791;2,931028779;5,398610652;3,508104532;0,42;311,4353291;1,0498;0,12229;0,68495;0,705378;0,217855;0,005431;0,000718;0,00655;0,031984;0,002385;0,006689
"1291";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;19494,11115;0,952;28,08239;27,26175;95,4886;2,453;158,553;0;0,57544704;0,50844;0,892;0;4,508765;24;237,826449;176,347435;1217,2529;42,82644903;18,09293804;3,430213191;2,488341106;2,343437708;0,56;378,5406396;0,96357;0,105823;0,51454;0,874972;0,217059;0,003093;0,000677;0,005871;0,045992;0,002752;0,005987
"1292";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;21787,01118;0,8029019608;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,55979;24;239,6876033;199,7008264;1427,623796;35,85619835;14,45454545;3,102644628;5,970247934;4,814876033;0,36;388,1484298;1,0176;0,117558;0,618852;0,82691;0,213243;0,003992;0,000755;0,006837;0,052435;0,002855;0,006108
"1293";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;24169,12911;0,824;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,365895;24;208,9781879;208,9580537;1175,849822;61,59563758;18,6795302;3,302516779;6,382550336;3,246644295;0,44;368,3083893;1,0845;0,125513;0,656108;0,788984;0,211097;0,004433;0,000571;0,006951;0,042167;0,002763;0,005754
"1294";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;26470,95093;0,688;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,651635;24;334,6774733;234,1895053;1184,221024;47,2309492;20,79044118;2,982453209;7,219251337;8,527740642;0,4;359,4515374;1,0161;0,135369;0,712955;0,653356;0,20406;0,004321;0,000524;0,007878;0,016199;0,001893;0,00511
"1295";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;38497,52385;0,9341428572;28,08239;27,26175;95,4886;2,453;158,553;2,51244;2,30178816;0,50844;0,892;0;4,55979;24;173,235688;192,8004687;1268,394376;45,70304653;16,94844325;2,059424171;5,714763977;2,927686642;0,44;334,7535989;1,0903;0,131303;0,684156;0,707229;0,200727;0,003523;0,000471;0,004723;0,051565;0,002522;0,004785
"1296";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;26917,04043;0,952;28,08239;27,26175;95,4886;2,453;158,553;9,7902;2,30178816;0,50844;0,7136;0;4,43733;24;115,2926587;162,9613095;1241,160015;52,19742063;11,74107143;1,626488095;2,053571429;2,24702381;0,48;344,7549603;1,0627;0,121017;0,738004;0,70691;0,195363;0,003969;0,00055;0,005549;0,034772;0,00237;0,005521
"1297";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;25980,25248;0,9510510292;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,7136;0;4,60061;24;224,6607915;151,0126372;1460,45157;51,09577652;16,57632192;3,162121716;3,860991021;5,093116063;0,48;334,7120053;1,0927;0,126957;0,613604;0,80584;0,217091;0,004066;0,000463;0,004933;0,057877;0,002675;0,006773
"1298";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;24677,67114;0,7991314554;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,70266;24;298,9843229;228,4172782;1429,255114;59,37458306;21,51934623;3,404769847;6,134089393;7,620080053;0,38;360,063042;1,1114;0,11301;0,612824;0,759856;0,20328;0,003678;0,000438;0,004232;0,05051;0,002515;0,005371
"1299";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;35615,78568;0,9013219318;28,08239;27,26175;95,4886;2,453;158,553;2,51244;0,57544704;0,50844;0,892;0;4,53938;24;206,3280476;174,0981169;1410,809585;53,65213082;17,61645193;3,116451933;4,14271556;5,495540139;0,54;333,3528246;1,1016;0,120692;0,657064;0,737571;0,203546;0,003648;0,000465;0,00517;0,05299;0,002544;0,005475
"1300";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;24311,87775;0,9752;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,529175;24;246,861009;215,8686936;1277,180686;59,32342132;18,27764784;4,351653859;3,027063147;4,355162045;0,54;373,3441363;1,0419;0,119314;0,699041;0,773056;0,196311;0,004174;0,000496;0,006103;0,049445;0,00268;0,005834
"1301";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;20966,2065;0,8667093108;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,7136;0;4,62102;24;284,7799266;191,1287096;1626,627625;56,13371124;24,30310103;3,099533178;4,111370457;5,586862287;0,36;330,2630877;1,0972;0,125493;0,76797;0,627303;0,178615;0,003781;0,000506;0,005319;0,034451;0,002465;0,005874
"1302";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;11446,65657;0,9279168862;28,08239;27,26175;95,4886;2,453;158,553;0;0;0,50844;0,892;0;4,66184;24;234,1190316;167,0477471;1504,573111;34,53175246;17,51681237;2,670141224;3,99462004;3,570948218;0,36;419,3196032;1,0829;0,129892;0,627714;0,767913;0,201998;0,00397;0,000449;0,005302;0,042129;0,002544;0,005085
"1303";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;40165,89858;0,94;28,08239;27,26175;95,4886;2,453;158,553;5,04;2,8772352;0,50844;0,892;0;4,243435;24;97,96;146,5;1557,81134;37,01884771;11,645;1,607;3,82;2,96;0,58;360,6055;1,1278;0,127718;0,615575;0,704923;0,235355;0,004528;0,000681;0,004659;0,059246;0,002532;0,007818
"1304";"9";"Conventional";"Sand";"Stevens";13,6818681318681;651,8;65;21572,88822;0,94;28,08239;27,26175;95,4886;2,453;158,553;0;2,8772352;0,50844;0,892;0;4,25364;24;129,0492133;202,1760964;1203,604336;31,90443532;11,51489789;1,944425845;3,07331771;3,495145631;0,58;345,2616337;1,1341;0,13373;0,83937;0,509087;0,199511;0,004275;0,000576;0,006732;0,038109;0,002173;0,008112
